,Unnamed: 0,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty,description
139,94,Hurricane Dennis,2005-07-10,,"Alabama, Georgia, Mississippi, Florida",,,,FAILED
140,95,Hurricane Dennis,2005-07-10,,"Alabama, Florida",,,1,FAILED
141,96,Severe Thunderstorms,2005-07-23,,Maryland,,"Montgomery, Prince Georges ",,FAILED
142,99,Severe Thunderstorms,2005-07-27,,Maryland,,"Baltimore County, Anne Arundel County, Prince Georges County ",,FAILED
143,98,Severe Thunderstorm,2005-07-27,,Maryland,,"Montgomery, Prince Georges ",,FAILED
144,97,Severe Thunderstorms,2005-07-27,,Pennsylvania,,"Bucks, Chester, Delaware, Montgomery, Philadelphia County ",,FAILED
145,100,Severe Thunderstorm,2005-07-28,,"North, CarolinaDIRTY",Piedmont,,,FAILED
146,101,Severe Thunderstorms,2005-08-20,,Arkansas,,,1,FAILED
147,1319,Hurricane Katrina,2005-08-29,,Louisiana,,TRUE,,FAILED
148,1320,Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,2005-08-29,,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and WakullaDIRTY",,TRUE,,FAILED
149,1321,Hurricane Katrina ,2005-08-29,,"Alabama, Mississippi, Florida",,TRUE,,FAILED
150,1318,Hurricane Katrina,2005-08-29,,Louisiana,,TRUE,,FAILED
151,1323,Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,2005-08-29,,Florida,,TRUE,,FAILED
152,1322,Hurricane Katrina,2005-08-29,,"Tennessee, Alabama, Mississippi",,TRUE,,FAILED
153,1324,Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,2005-08-31,,Florida,,TRUE,,FAILED
154,102,Severe Storm,2005-09-13,,Wisconsin,,,1,FAILED
155,1325,Hurricane Ophelia,2005-09-14,,North Carolina,,TRUE,,FAILED
156,1326,High Winds/Tornados,2005-09-21,,Minnesota,,TRUE,,FAILED
157,1327,Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,2005-09-22,,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and WakullaDIRTY",,TRUE,,FAILED
158,103,Severe Thunderstorm,2005-09-22,,Michigan,,,1,FAILED
159,1328,Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,2005-09-23,,Florida,,TRUE,,FAILED
160,104,Hurricane Rita,2005-09-23,,Louisiana,,,1,FAILED
161,105,Hurricane Rita,2005-09-23,,Texas,Houston,,,FAILED
162,106,Hurricane Rita,2005-09-23,,"Texas, Arkansas, Louisiana, Mississippi",,,,FAILED
163,107,Hurricane Rita,2005-09-24,,Texas,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",,,FAILED
164,108,Hurricane Rita,2005-09-24,,Louisiana,Shreveport,,,FAILED
165,109,Hurricane Wilma,2005-10-23,,Florida," Naples, Ft. Myers, Miami, Ft. Lauderdale",,"West Palm Beach, Martin County",FAILED
166,110,Hurricane Wilma,2005-10-24,,Florida,,"Collier, Charlotte, Lee",,FAILED
167,112,Hurricane Wilma,2005-10-24,,"Pennsylvania, Maryland, Virginia",,,,FAILED
168,111,Hurricane Wilma ,2005-10-24,,Florida,"Key West, Clewiston, Lake Worth, Ft. Pierce",,,FAILED
169,113,Severe Thunderstorm,2005-11-06,,Michigan,,,1,FAILED
170,114,Severe Thunderstorms,2005-11-12,,Wisconsin,,,1,FAILED
171,115,Severe Thunderstorm,2005-11-12,,Michigan,,,1,FAILED
172,116,Ice Storm,2005-12-15,,North Carolina,Piedmont,,1,FAILED
173,117,Ice Storm,2005-12-15,,Georgia,,,1,FAILED
174,118,Severe Storms,2005-12-31,,California,,,1,FAILED
175,119,High Winds,2006-01-14,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia, Bucks County",,FAILED
176,120,Severe Storm,2006-01-18,,Maine,,,1,FAILED
177,121,Strong Winds,2006-02-04,,Washington,,Snohomish County,,FAILED
178,122,Severe Windstorm,2006-02-04,,Washington,,,1,FAILED
179,1329,Major Snow Storm,2006-02-11,,Maryland,,TRUE,,FAILED
180,123,Severe Snow Storm,2006-02-12,,Virginia,,,1,FAILED
181,1332,Winter Snow/Ice Storm,2006-02-12,,Entire Delmarva Power service territoryDIRTY,,TRUE,,FAILED
182,1331,Winter Snow/Ice Storm,2006-02-12,,New Jersey,,TRUE,,FAILED
183,1330,Major Snow Storm,2006-02-12,,Washington,,TRUE,,FAILED
184,1333,Severe Thunderstorm/ Snow/Ice Storm,2006-02-16,,Michigan,,TRUE,,FAILED
185,124,Severe Weather,2006-02-17,,New York,,,,FAILED
186,125,Severe Winter Storm,2006-02-27,,California,,,1,FAILED
187,126,Severe Weather,2006-03-09,,"Arkansas, Louisiana, Mississippi",,,,FAILED
188,127,Severe Weather,2006-03-12,,Illinois,Springfield,,,FAILED
189,1334,Major Storms/Tornadoes,2006-04-02,,Indiana,,TRUE,,FAILED
190,1335,Severe Weather/ Tornadoes,2006-04-08,,"Alabama, Georgia",,TRUE,,FAILED
191,128,Severe Weather,2006-04-21,,Texas,Houston,,,FAILED
192,1336,Lightning Storm,2006-04-29,,Island of Puerto RicoDIRTY,,TRUE,,FAILED
193,1337,Lightning Strike,2006-05-19,,California,,TRUE,,FAILED
194,129,Severe Weather,2006-05-25,,"Kentucky, Indiana, Ohio",,,1,FAILED
195,130,Severe Weather,2006-06-01,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia, Bucks County",,FAILED
196,131,Severe Thunderstorms,2006-06-01,,Maryland,,,1,FAILED
197,132,Severe Thunderstorm,2006-06-11,,North Carolina,Charlotte,,,FAILED
198,133,Severe Thunderstorms,2006-06-22,,"Indiana, Ohio",,,,FAILED
199,134,Severe Thunderstorms,2006-07-02,,Virginia,,,1,FAILED
200,135,Severe Thunderstorms,2006-07-04,,Virginia,,,1,FAILED
201,1338,Severe Lightning Storms,2006-07-16,,Michigan,,TRUE,,FAILED
202,1339,Severe Weather/Public Appeals Made/Voltage Reduction,2006-07-17,,New York,,TRUE,,FAILED
203,1340,Severe Lightning Storms,2006-07-17,,Illinois,,TRUE,,FAILED
204,1341,Severe Lightning Storms,2006-07-18,,"Pennsylvania, Delaware",,TRUE,,FAILED
205,1342,Lightning Storms/Tripped Lines,2006-07-18,,Connecticut,,TRUE,,FAILED
206,1343,Severe Storms (3) (Many customers experienced multiple outages.),2006-07-19,,"Illinois, Missouri",,TRUE,,FAILED
207,1344,Widespread Heat Wave/Public Appeals Made,2006-07-22,,California,,TRUE,,FAILED
208,1345,Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,2006-07-24,,California,,TRUE,,FAILED
209,1346,Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,2006-07-24,,California,,TRUE,,FAILED
210,136,Severe Thunderstorms,2006-07-27,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia, Bucks County",,FAILED
211,137,Severe Thunderstorms,2006-08-02,,New EnglandDIRTY,,,1,FAILED
212,138,Severe Thunderstorm,2006-08-10,,"Idaho, Oregon",,,1,FAILED
213,1351,Tropical Storm Ernesto,2006-09-01,,New Jersey,,TRUE,,FAILED
214,1350,Tropical Storm Ernesto,2006-09-01,,"Pennsylvania, Delaware",,TRUE,,FAILED
215,1349,Tropical Storm Ernesto,2006-09-01,,Southern Delmarva PeninsulaDIRTY,,TRUE,,FAILED
216,1348,Tropical Storm Ernesto,2006-09-01,,"North Carolina, Virginia",,TRUE,,FAILED
217,1347,Tropical Storm Ernesto,2006-09-01,,North Carolina,,TRUE,,FAILED
218,139,Severe Thunderstorms,2006-09-28,,"North Carolina, Virginia",,,1,FAILED
219,140,Severe Thunderstorms,2006-10-02,,Illinois,Chicago,,,FAILED
220,141,Snow Storm,2006-10-12,,New York,,,1,FAILED
221,142,Snow Storm,2006-10-12,,New York,,,1,FAILED
222,144,Earthquakes,2006-10-15,,IslandDIRTY,Oahu,,,FAILED
223,143,Earthquakes,2006-10-15,,Hawaii,Maui,,,FAILED
224,145,High Winds,2006-10-20,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia, Bucks County",,FAILED
225,1352,Wet Snow/Winds,2006-10-26,,Colorado,,TRUE,,FAILED
226,147,High Winds,2006-11-15,,Washington,,"Whatcom, Skagit Counties",,FAILED
227,148,Severe Weather,2006-11-15,,Georgia,,,,FAILED
228,146,High Winds,2006-11-15,,Texas,Houston,,,FAILED
229,1353,Wind/Snow Storm,2006-11-26,,Washington,,TRUE,,FAILED
230,149,Ice Storm,2006-11-30,,"Illinois, Missouri",,,,FAILED
231,150,Wind Storm,2006-12-01,,Ohio,,,,FAILED
232,151,Wind Storm,2006-12-13,,Washington,,,1,FAILED
233,153,Wind Storm,2006-12-14,,Washington,,Snohomish County,,FAILED
234,154,Wind Storm,2006-12-14,,"Idaho, Oregon, Montana, Washington",,,,FAILED
235,155,HIgh Winds,2006-12-14,,Oregon,,,1,FAILED
236,156,High Winds,2006-12-14,,Washington,Tacoma ,South Pierce County,,FAILED
237,157,High Winds,2006-12-14,,Oregon,,"Multnomah, Clackamas, Washington, Marion",,FAILED
238,152,Wind Storm,2006-12-14,,Washington,Seattle,,,FAILED
239,158,Severe Weather,2006-12-26,,California,,,1,FAILED
240,159,Severe Weather,2006-12-30,,Nebraska,,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte, Seward",,FAILED
241,161,Ice Storm,2007-01-13,,Michigan,,,1,FAILED
242,160,Ice Storm,2007-01-13,,"Illinois, Missouri",,,,FAILED
243,1354,Major Windstorm,2007-01-16,,Washington,,TRUE,,FAILED
244,162,Ice/Wind Storm,2007-02-13,,"Indiana, Ohio",,,1,FAILED
245,163,Winter Storm,2007-02-13,,Maryland,,,1,FAILED
246,164,Ice Storm,2007-02-24,,Illinois,Rock Island,,,FAILED
247,165,Ice Storm,2007-02-24,,Iowa,,,1,FAILED
248,166,Ice Storm,2007-02-24,,Iowa,Cedar Rapids,,,FAILED
249,167,Winter Storm,2007-02-28,,California,,,1,FAILED
250,168,Major Storm,2007-03-01,,"Alabama, Georgia, Mississippi, Florida",,,1,FAILED
251,169,Severe Thunderstorms,2007-03-31,,Texas,Houston,,,FAILED
252,1355,Heavy Snow Storm,2007-04-05,,Maine,,TRUE,,FAILED
253,170,High Winds,2007-04-12,,California,Los Angeles,,,FAILED
254,171,High Winds,2007-04-14,,"New Hampshire, Massachusetts, Rhode Island",,,,FAILED
255,172,Severe Thunderstorms,2007-04-16,,New Hampshire,,,,FAILED
256,1356,Heavy Snow Storm,2007-04-16,,Maine,,TRUE,,FAILED
257,173,HIgh Winds,2007-04-16,,South Carolina,,,1,FAILED
258,174,Severe Thunderstorms,2007-04-16,,Maryland,Baltimore City,,,FAILED
259,175,High Winds,2007-04-16,,"North Carolina, Virginia",,,1,FAILED
260,176,Severe Storms,2007-05-02,,Texas,,"Dallas, Fort Worth",,FAILED
261,177,Severe Thunderstorms,2007-05-15,,Michigan,,,1,FAILED
262,178,Severe Storm,2007-05-16,,Connecticut,,,,FAILED
263,179,Lightning,2007-06-27,,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)DIRTY",,,1,FAILED
264,180,Severe Storm,2007-07-05,,Michigan,,,1,FAILED
265,181,Major Storms,2007-07-10,,New York,,,1,FAILED
266,182,Severe Weather,2007-07-18,,Illinois,,,1,FAILED
267,184,Major Storms,2007-07-19,,Virginia,,,1,FAILED
268,183,Major Storm,2007-07-19,,Southwestern Region of Service TerritoryDIRTY,,,1,FAILED
269,185,Severe Thunderstorms,2007-08-09,,Pennsylvania,Pittsburgh,,,FAILED
270,186,Severe Thunderstorm,2007-08-13,,Missouri,,,,FAILED
271,187,Severe Weather,2007-08-16,,"North Carolina, Virginia",,,1,FAILED
272,188,Severe Thunderstorms,2007-08-19,,Virginia,,,1,FAILED
273,189,Severe Storms,2007-08-23,,Illinois,,,1,FAILED
274,190,Severe Storm,2007-08-24,,Michigan,,,1,FAILED
275,1357,Severe Weather/Transmission Fault-Units Tripped,2007-09-05,,Texas,,TRUE,,FAILED
276,1358,Hurricane Humberto,2007-09-13,,Texas,,TRUE,,FAILED
277,191,High Winds,2007-10-18,,Washington,,,1,FAILED
278,1359,Tropical Storm,2007-11-03,,"Massachusetts, Rhode Island",,TRUE,,FAILED
279,192,Ice Storm,2007-12-10,,Oklahoma,Tulsa,,,FAILED
280,193,Ice Storm,2007-12-11,,Kansas,,,1,FAILED
281,195,Winter Storm,2007-12-23,,Michigan,,,1,FAILED
282,194,Severe Storm,2007-12-23,,The Entire ComEd Service TerritoryDIRTY,,,1,FAILED
283,196,Severe Thunderstorms,2008-01-29,,"Arkansas, Mississippi",,,,FAILED
284,197,Wind/Ice Storm,2008-01-29,,Michigan,,,1,FAILED
285,198,High Winds,2008-01-29,,Ohio,Dayton,,,FAILED
286,199,High Winds,2008-01-30,,New York,,,1,FAILED
287,200,Severe Weather,2008-02-05,,Kentucky,,,1,FAILED
288,201,Severe Weather,2008-02-06,,Tennessee,,,1,FAILED
289,202,Severe Weather,2008-02-10,,"West Virginia, Pennsylvania, Maryland, Virginia",,,,FAILED
290,203,High Winds,2008-02-10,,"West Virginia, Pennsylvania, Ohio, Virginia",,,,FAILED
291,204,High Winds,2008-02-10,,"West Virginia, Virginia",,,1,FAILED
292,205,High Winds,2008-02-10,,Dominion Service TerritoryDIRTY,,,1,FAILED
293,206,High Winds,2008-02-10,,North Carolina,Greensboro,,,FAILED
294,207,Severe Weather,2008-02-12,,"Arkansas, Louisiana, Mississippi",,,,FAILED
295,208,Ice Storm,2008-02-13,,Maine,,,,FAILED
296,209,Thunderstorms,2008-02-26,,"Alabama, Georgia",,,,FAILED
297,210,Thunderstorms,2008-03-04,,South Carolina,,,1,FAILED
298,211,Windstorm,2008-03-08,,"North Carolina, Virginia",,,1,FAILED
299,212,Severe Weather,2008-03-08,,Pennsylvania,,"Chester, Montgomery, Delaware, Philadelphia and Bucks County,",,FAILED
300,213,Major Storm,2008-03-15,,"Alabama, Georgia",,,1,FAILED
301,214,Severe Thunderstorms,2008-04-04,,"Arkansas, Louisiana, Mississippi",,,,FAILED
302,215,Severe Weather,2008-04-09,,Texas,,,1,FAILED
303,216,Severe Thunderstorms,2008-05-11,,Georgia,,,,FAILED
304,217,Severe Storm,2008-05-12,,New Jersey,,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burlington County ",,FAILED
305,1360,Lightning Storm,2008-05-27,,Connecticut,,TRUE,,FAILED
306,218,Severe Storms,2008-05-30,,Illinois,,,1,FAILED
